id,gridcode,gridname,countycode,countyname,citycode,cityname
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,BBWG0054,静海西北网格,BB,静海分公司,0022,天津市
20,BBWG0054,静海西北网格,BB,静海分公司,0022,天津市
21,,,,,,
22,,,,,,
23,,,,,,
24,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
25,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
26,,,,,,
27,,,,,,
28,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
29,,,,,,
30,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
31,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
32,,,,,,
33,,,,,,
34,,,,,,
35,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
36,,,,,,
37,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
38,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
39,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
40,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
47,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
48,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
49,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
50,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
51,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
52,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
53,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
54,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
55,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
56,,,,,,
57,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
58,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
59,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
60,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
61,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
62,,,,,,
63,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
64,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
65,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
66,BBWG0054,静海西北网格,BB,静海分公司,0022,天津市
67,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
68,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
69,,,,,,
70,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
71,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
72,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
73,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
74,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
75,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
76,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
77,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
78,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
79,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
80,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
81,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
82,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
